Description:,,,,,,,,,,,,,,,,,,,,,,
Source: https://doi.org/10.5061/dryad.9p8cz8wc6,,,,,,,,,,,,,,,,,,,,,,
"Citation: Acevedo, Miguel; Beaudrot, Lydia; Melendez-Ackerman, Elvia; Tremblay, Raymond (2020), Local extinction risk under climate change in a neotropical asymmetrically dispersed epiphyte, Dryad, Dataset, https://doi.org/10.5061/dryad.9p8cz8wc6",,,,,,,,,,,,,,,,,,,,,,
License: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UID,x.coord,y.coord,z.coord,Phorophyte,X70199,X20100,X80100,X10101,X60101,X10102,X60102,X120202,X61003,X12404,X71704,X12205,X91705,X72406,X20307,X61507,X10208,Total_Moss_area
185,160.4081691,-207.6752065,50.02851023,TREES,1,1,1,1,1,1,1,1,1,1,1,,0,1,,,,22
186,158.4538846,-208.0197996,51.2685213,TREES,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,39
187,156.9110044,-209.0881528,50.69358275,TREES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
189,160.7210488,-203.9626185,48.58984664,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,65
189,160.7210488,-203.9626185,48.58984664,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42
190,159.3416566,-205.6660261,49.70666327,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
191,160.0970934,-206.2912519,49.71401121,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2
192,158.8258806,-207.2451462,50.04482051,ROCKS,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,32
193,165.9312114,-200.5325191,48.90944119,ROCKS,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,73
194,165.5688524,-201.8848612,48.34378523,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,164.8507851,-203.5009659,48.465479,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,163.6366447,-203.5228566,48.51327831,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
197,167.743827,-200.5325191,49.75467771,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,153
198,167.419868,-201.7415505,49.44259847,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,167.3229133,-202.3556967,49.42474617,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,166.9367909,-202.3451517,48.9530196,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201,171.069892,-199.7636674,49.49968953,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94
202,170.8935517,-200.8770365,49.42086472,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
203,171.5995631,-201.7404271,50.12536498,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,41
204,170.835467,-202.4431579,49.73501004,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
205,169.8456901,-200.8092346,49.75467771,ROCKS,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,44
206,169.3194006,-201.6196494,49.83921878,ROCKS,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15
207,170.2448113,-201.4479621,49.91476971,ROCKS,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4
208,169.948253,-202.7662504,49.78888443,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,169.0254835,-199.8529282,48.17077029,ROCKS,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,20
210,168.6911212,-199.5723649,47.70270392,ROCKS,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,97
211,167.6815249,-198.1932776,47.26427407,ROCKS,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,28
212,166.1369408,-197.5552776,47.45332847,ROCKS,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,142
213,166.0283851,-208.0271675,50.52486932,ROCKS,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1,1,9
214,166.7430087,-208.7417911,50.93319051,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,168.4609586,-208.1972696,50.61002409,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
216,169.9659605,-206.8233299,50.3810834,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,175.7439181,-209.1000601,51.02061022,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43
218,174.8353703,-209.5237229,51.14369825,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
219,175.0416554,-206.4791803,50.63927592,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
220,174.1246748,-205.4631802,50.17440964,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
